vsi_path	slide_id	is_overview	file_size_bytes	num_scenes	scene_idx	scene_name	width_px	height_px	mpp_x_um	mpp_y_um	magnification	compression	num_channels	num_z_slices	num_t_frames	error
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10529987HE1.vsi	10529987HE1	0	278425	1	0	40x	11762	22691	0.170664	0.170672	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10529987HE1_Overview.vsi	10529987HE1_Overview	1	1422304		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10529989HE1.vsi	10529989HE1	0	368515	1	0	40x	18599	19150	0.170668	0.170672	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10529989HE1_Overview.vsi	10529989HE1_Overview	1	1423306		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10540227HE1.vsi	10540227HE1	0	609919	1	0	40x	27051	21255	0.17077299999999998	0.17077399999999998	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10540227HE1_Overview.vsi	10540227HE1_Overview	1	1377336		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10540228HE1.vsi	10540228HE1	0	509535	1	0	40x	19607	23472	0.17077199999999998	0.17077499999999998	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10540228HE1_Overview.vsi	10540228HE1_Overview	1	1375582		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10540236HE1.vsi	10540236HE1	0	449153	1	0	40x	19871	16577	0.17077499999999998	0.17077299999999998	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/VSI_MAY_2022/10540236HE1_Overview.vsi	10540236HE1_Overview	1	1377226		-1											no scenes
